municipio,vacina,demanda
PortoVelho,BCG,6470
PortoVelho,HepatiteB,6470
PortoVelho,Pentavalente,6470
PortoVelho,VIP,6470
PortoVelho,VOP,6470
PortoVelho,FebreAmarela,6470
PortoVelho,TripliceViral,6470
RioBranco,BCG,4862
RioBranco,HepatiteB,4862
RioBranco,Pentavalente,4862
RioBranco,VIP,4862
RioBranco,VOP,4862
RioBranco,FebreAmarela,4862
RioBranco,TripliceViral,4862
Manaus,BCG,28796
Manaus,HepatiteB,28796
Manaus,Pentavalente,28796
Manaus,VIP,28796
Manaus,VOP,28796
Manaus,FebreAmarela,28796
Manaus,TripliceViral,28796
BoaVista,BCG,6068
BoaVista,HepatiteB,6068
BoaVista,Pentavalente,6068
BoaVista,VIP,6068
BoaVista,VOP,6068
BoaVista,FebreAmarela,6068
BoaVista,TripliceViral,6068
Belem,BCG,17466
Belem,HepatiteB,17466
Belem,Pentavalente,17466
Belem,VIP,17466
Belem,VOP,17466
Belem,FebreAmarela,17466
Belem,TripliceViral,17466
Macapa,BCG,6120
Macapa,HepatiteB,6120
Macapa,Pentavalente,6120
Macapa,VIP,6120
Macapa,VOP,6120
Macapa,FebreAmarela,6120
Macapa,TripliceViral,6120
Palmas,BCG,4106
Palmas,HepatiteB,4106
Palmas,Pentavalente,4106
Palmas,VIP,4106
Palmas,VOP,4106
Palmas,FebreAmarela,4106
Palmas,TripliceViral,4106
SaoLuis,BCG,13614
SaoLuis,HepatiteB,13614
SaoLuis,Pentavalente,13614
SaoLuis,VIP,13614
SaoLuis,VOP,13614
SaoLuis,FebreAmarela,13614
SaoLuis,TripliceViral,13614
Teresina,BCG,11320
Teresina,HepatiteB,11320
Teresina,Pentavalente,11320
Teresina,VIP,11320
Teresina,VOP,11320
Teresina,FebreAmarela,11320
Teresina,TripliceViral,11320
Fortaleza,BCG,32230
Fortaleza,HepatiteB,32230
Fortaleza,Pentavalente,32230
Fortaleza,VIP,32230
Fortaleza,VOP,32230
Fortaleza,FebreAmarela,32230
Fortaleza,TripliceViral,32230
Natal,BCG,9802
Natal,HepatiteB,9802
