posto,vacina,demanda
RO_Renato_Medeiros,BCG,3235
RO_Renato_Medeiros,HepatiteB,3235
RO_Renato_Medeiros,Pentavalente,3235
RO_Renato_Medeiros,VIP,3235
RO_Renato_Medeiros,VOP,3235
RO_Renato_Medeiros,FebreAmarela,3235
RO_Renato_Medeiros,TripliceViral,3235
RO_Mariana,BCG,3235
RO_Mariana,HepatiteB,3235
RO_Mariana,Pentavalente,3235
RO_Mariana,VIP,3235
RO_Mariana,VOP,3235
RO_Mariana,FebreAmarela,3235
RO_Mariana,TripliceViral,3235
AC_Deusimar_Pinheiro,BCG,2431
AC_Deusimar_Pinheiro,HepatiteB,2431
AC_Deusimar_Pinheiro,Pentavalente,2431
AC_Deusimar_Pinheiro,VIP,2431
AC_Deusimar_Pinheiro,VOP,2431
AC_Deusimar_Pinheiro,FebreAmarela,2431
AC_Deusimar_Pinheiro,TripliceViral,2431
AC_Rozangela_Pimentel,BCG,2431
AC_Rozangela_Pimentel,HepatiteB,2431
AC_Rozangela_Pimentel,Pentavalente,2431
AC_Rozangela_Pimentel,VIP,2431
AC_Rozangela_Pimentel,VOP,2431
AC_Rozangela_Pimentel,FebreAmarela,2431
AC_Rozangela_Pimentel,TripliceViral,2431
AM_Luiz_Montenegro,BCG,14398
AM_Luiz_Montenegro,HepatiteB,14398
AM_Luiz_Montenegro,Pentavalente,14398
AM_Luiz_Montenegro,VIP,14398
AM_Luiz_Montenegro,VOP,14398
AM_Luiz_Montenegro,FebreAmarela,14398
AM_Luiz_Montenegro,TripliceViral,14398
AM_Silas_Santos,BCG,14398
AM_Silas_Santos,HepatiteB,14398
AM_Silas_Santos,Pentavalente,14398
AM_Silas_Santos,VIP,14398
AM_Silas_Santos,VOP,14398
AM_Silas_Santos,FebreAmarela,14398
AM_Silas_Santos,TripliceViral,14398
RR_Sao_Vicente,BCG,3034
RR_Sao_Vicente,HepatiteB,3034
RR_Sao_Vicente,Pentavalente,3034
RR_Sao_Vicente,VIP,3034
RR_Sao_Vicente,VOP,3034
RR_Sao_Vicente,FebreAmarela,3034
RR_Sao_Vicente,TripliceViral,3034
RR_CMI,BCG,3034
RR_CMI,HepatiteB,3034
RR_CMI,Pentavalente,3034
RR_CMI,VIP,3034
RR_CMI,VOP,3034
RR_CMI,FebreAmarela,3034
RR_CMI,TripliceViral,3034
PA_Guama,BCG,8733
PA_Guama,HepatiteB,8733
PA_Guama,Pentavalente,8733
PA_Guama,VIP,8733
PA_Guama,VOP,8733
PA_Guama,FebreAmarela,8733
PA_Guama,TripliceViral,8733
PA_Cremacao,BCG,8733
PA_Cremacao,HepatiteB,8733
PA_Cremacao,Pentavalente,8733
PA_Cremacao,VIP,8733
PA_Cremacao,VOP,8733
PA_Cremacao,FebreAmarela,8733
PA_Cremacao,TripliceViral,8733
AP_Macelo_Candia,BCG,3060
AP_Macelo_Candia,HepatiteB,3060
AP_Macelo_Candia,Pentavalente,3060
AP_Macelo_Candia,VIP,3060
AP_Macelo_Candia,VOP,3060
AP_Macelo_Candia,FebreAmarela,3060
AP_Macelo_Candia,TripliceViral,3060
AP_Leozildo_Barreto,BCG,3060
AP_Leozildo_Barreto,HepatiteB,3060
AP_Leozildo_Barreto,Pentavalente,3060
AP_Leozildo_Barreto,VIP,3060
AP_Leozildo_Barreto,VOP,3060
AP_Leozildo_Barreto,FebreAmarela,3060
AP_Leozildo_Barreto,TripliceViral,3060
TO_1304_Sul,BCG,2053
TO_1304_Sul,HepatiteB,2053
TO_1304_Sul,Pentavalente,2053
TO_1304_Sul,VIP,2053
TO_1304_Sul,VOP,2053
TO_1304_Sul,FebreAmarela,2053
