estado,latitude,longitude,W_rod,W_aereo
AC,-8.77,-70.55,2,1
AL,-9.71,-35.73,4,1
AM,-3.07,-61.66,8,3
AP,1.41,-51.77,4,2
BA,-12.96,-38.51,8,3
CE,-3.71,-38.54,8,3
DF,-15.83,-47.86,8,3
ES,-19.19,-40.34,2,1
GO,-16.64,-49.31,6,2
MA,-2.55,-44.30,6,2
MT,-12.64,-55.42,4,1
MS,-20.51,-54.54,4,1
MG,-18.10,-44.38,8,3
PA,-5.53,-52.29,6,2
PB,-7.06,-35.55,4,1
PR,-24.89,-51.55,6,2
PE,-8.28,-35.07,6,2
PI,-8.28,-43.68,4,1
RJ,-22.84,-43.15,10,4
RN,-5.22,-36.52,4,1
RO,-11.22,-62.80,4,1
RS,-30.01,-51.22,6,2
RR,1.89,-61.22,2,1
SC,-27.33,-49.44,4,1
SE,-10.90,-37.07,4,1
SP,-23.55,-46.64,10,4
TO,-10.25,-48.25,2,1
