municipio,vacina,tempo
PortoVelho,BCG,536
PortoVelho,HepatiteB,3114
PortoVelho,Pentavalente,2015
PortoVelho,VIP,3380
PortoVelho,VOP,1465
PortoVelho,FebreAmarela,3722
PortoVelho,TripliceViral,2140
RioBranco,BCG,487
RioBranco,HepatiteB,2780
RioBranco,Pentavalente,1902
RioBranco,VIP,3012
RioBranco,VOP,1305
RioBranco,FebreAmarela,3501
RioBranco,TripliceViral,1988
Manaus,BCG,602
Manaus,HepatiteB,3560
Manaus,Pentavalente,2284
Manaus,VIP,3890
Manaus,VOP,1620
Manaus,FebreAmarela,4012
Manaus,TripliceViral,2405
BoaVista,BCG,498
BoaVista,HepatiteB,2950
BoaVista,Pentavalente,2050
BoaVista,VIP,3105
BoaVista,VOP,1380
BoaVista,FebreAmarela,3420
BoaVista,TripliceViral,2105
Belem,BCG,575
Belem,HepatiteB,3300
Belem,Pentavalente,2150
Belem,VIP,3600
Belem,VOP,1500
Belem,FebreAmarela,3800
Belem,TripliceViral,2300
Macapa,BCG,520
Macapa,HepatiteB,3000
Macapa,Pentavalente,2100
Macapa,VIP,3200
Macapa,VOP,1400
Macapa,FebreAmarela,3500
Macapa,TripliceViral,2200
Palmas,BCG,505
Palmas,HepatiteB,2900
Palmas,Pentavalente,2000
Palmas,VIP,3150
Palmas,VOP,1350
Palmas,FebreAmarela,3400
Palmas,TripliceViral,2150
SaoLuis,BCG,560
SaoLuis,HepatiteB,3250
SaoLuis,Pentavalente,2200
SaoLuis,VIP,3500
SaoLuis,VOP,1450
SaoLuis,FebreAmarela,3700
SaoLuis,TripliceViral,2250
Teresina,BCG,545
Teresina,HepatiteB,3100
Teresina,Pentavalente,2100
Teresina,VIP,3400
Teresina,VOP,1420
Teresina,FebreAmarela,3600
Teresina,TripliceViral,2200
Fortaleza,BCG,590
Fortaleza,HepatiteB,3400
Fortaleza,Pentavalente,2250
Fortaleza,VIP,3700
Fortaleza,VOP,1550
