municipio,vacina,tempo_expiracao
PortoVelho,Pfizer,59.0
PortoVelho,AstraZeneca,691.0
PortoVelho,CoronaVac,377.0
PortoVelho,Janssen,733.0
RioBranco,Pfizer,38.0
RioBranco,AstraZeneca,233.0
RioBranco,CoronaVac,118.0
RioBranco,Janssen,964.0
Manaus,Pfizer,81.0
Manaus,AstraZeneca,551.0
Manaus,CoronaVac,103.0
Manaus,Janssen,1054.0
BoaVista,Pfizer,103.0
BoaVista,AstraZeneca,266.0
BoaVista,CoronaVac,165.0
BoaVista,Janssen,374.0
Belem,Pfizer,53.0
Belem,AstraZeneca,446.0
Belem,CoronaVac,261.0
Belem,Janssen,467.0
Macapa,Pfizer,82.0
Macapa,AstraZeneca,224.0
Macapa,CoronaVac,208.0
Macapa,Janssen,532.0
Palmas,Pfizer,67.0
Palmas,AstraZeneca,596.0
Palmas,CoronaVac,172.0
Palmas,Janssen,660.0
SaoLuis,Pfizer,80.0
SaoLuis,AstraZeneca,170.0
SaoLuis,CoronaVac,329.0
SaoLuis,Janssen,363.0
Teresina,Pfizer,30.0
Teresina,AstraZeneca,690.0
Teresina,CoronaVac,466.0
Teresina,Janssen,914.0
Fortaleza,Pfizer,53.0
Fortaleza,AstraZeneca,200.0
Fortaleza,CoronaVac,358.0
Fortaleza,Janssen,596.0
Natal,Pfizer,35.0
Natal,AstraZeneca,429.0
Natal,CoronaVac,109.0
Natal,Janssen,1001.0
JoaoPessoa,Pfizer,48.0
JoaoPessoa,AstraZeneca,525.0
JoaoPessoa,CoronaVac,215.0
JoaoPessoa,Janssen,665.0
Recife,Pfizer,76.0
Recife,AstraZeneca,250.0
Recife,CoronaVac,468.0
Recife,Janssen,885.0
Maceio,Pfizer,114.0
Maceio,AstraZeneca,659.0
Maceio,CoronaVac,325.0
Maceio,Janssen,1012.0
Aracaju,Pfizer,32.0
Aracaju,AstraZeneca,256.0
Aracaju,CoronaVac,113.0
Aracaju,Janssen,497.0
Salvador,Pfizer,61.0
Salvador,AstraZeneca,300.0
Salvador,CoronaVac,414.0
Salvador,Janssen,524.0
BeloHorizonte,Pfizer,50.0
BeloHorizonte,AstraZeneca,456.0
BeloHorizonte,CoronaVac,150.0
BeloHorizonte,Janssen,909.0
Vitoria,Pfizer,31.0
Vitoria,AstraZeneca,712.0
Vitoria,CoronaVac,392.0
Vitoria,Janssen,387.0
RioDeJaneiro,Pfizer,24.0
RioDeJaneiro,AstraZeneca,613.0
RioDeJaneiro,CoronaVac,367.0
RioDeJaneiro,Janssen,845.0
SaoPaulo,Pfizer,98.0
SaoPaulo,AstraZeneca,186.0
SaoPaulo,CoronaVac,233.0
SaoPaulo,Janssen,316.0
Curitiba,Pfizer,106.0
Curitiba,AstraZeneca,503.0
Curitiba,CoronaVac,223.0
Curitiba,Janssen,270.0
Florianopolis,Pfizer,53.0
Florianopolis,AstraZeneca,331.0
Florianopolis,CoronaVac,376.0
Florianopolis,Janssen,766.0
PortoAlegre,Pfizer,109.0
PortoAlegre,AstraZeneca,415.0
PortoAlegre,CoronaVac,141.0
PortoAlegre,Janssen,832.0
CampoGrande,Pfizer,97.0
CampoGrande,AstraZeneca,467.0
CampoGrande,CoronaVac,392.0
CampoGrande,Janssen,642.0
Cuiaba,Pfizer,74.0
Cuiaba,AstraZeneca,390.0
Cuiaba,CoronaVac,105.0
Cuiaba,Janssen,309.0
Goiania,Pfizer,27.0
Goiania,AstraZeneca,510.0
Goiania,CoronaVac,216.0
Goiania,Janssen,655.0
Brasilia,Pfizer,111.0
Brasilia,AstraZeneca,287.0
Brasilia,CoronaVac,253.0
Brasilia,Janssen,868.0
