municipio,vacina,oferta
PortoVelho,Pfizer,45
RioBranco,Pfizer,4675
Manaus,Pfizer,138
BoaVista,Pfizer,49
Belem,Pfizer,12
Macapa,Pfizer,82
Palmas,Pfizer,39
SaoLuis,Pfizer,68
Teresina,Pfizer,65
Fortaleza,Pfizer,39
Natal,Pfizer,64
JoaoPessoa,Pfizer,11
Recife,Pfizer,25
Maceio,Pfizer,16
Aracaju,Pfizer,10
Salvador,Pfizer,298
BeloHorizonte,Pfizer,38
Vitoria,Pfizer,3
RioDeJaneiro,Pfizer,60
SaoPaulo,Pfizer,20
Curitiba,Pfizer,20
Florianopolis,Pfizer,64
PortoAlegre,Pfizer,162
CampoGrande,Pfizer,161
Cuiaba,Pfizer,11
Goiania,Pfizer,24
Brasilia,Pfizer,28
PortoVelho,AstraZeneca,69
RioBranco,AstraZeneca,50
Manaus,AstraZeneca,29
BoaVista,AstraZeneca,66
Belem,AstraZeneca,15
Macapa,AstraZeneca,84
Palmas,AstraZeneca,52
SaoLuis,AstraZeneca,8
Teresina,AstraZeneca,15
Fortaleza,AstraZeneca,41
Natal,AstraZeneca,12
JoaoPessoa,AstraZeneca,15
Recife,AstraZeneca,26
Maceio,AstraZeneca,74
Aracaju,AstraZeneca,5663
Salvador,AstraZeneca,25
BeloHorizonte,AstraZeneca,30
Vitoria,AstraZeneca,2938
RioDeJaneiro,AstraZeneca,11
SaoPaulo,AstraZeneca,17
Curitiba,AstraZeneca,13
Florianopolis,AstraZeneca,5841
PortoAlegre,AstraZeneca,15
CampoGrande,AstraZeneca,12
Cuiaba,AstraZeneca,11
Goiania,AstraZeneca,13
Brasilia,AstraZeneca,24
PortoVelho,CoronaVac,5
RioBranco,CoronaVac,4
Manaus,CoronaVac,23
BoaVista,CoronaVac,53
Belem,CoronaVac,148
Macapa,CoronaVac,54
Palmas,CoronaVac,700
SaoLuis,CoronaVac,19
Teresina,CoronaVac,17
Fortaleza,CoronaVac,3
Natal,CoronaVac,6921
JoaoPessoa,CoronaVac,9
Recife,CoronaVac,27
Maceio,CoronaVac,11
Aracaju,CoronaVac,108
Salvador,CoronaVac,337
BeloHorizonte,CoronaVac,27
Vitoria,CoronaVac,6838
RioDeJaneiro,CoronaVac,75
SaoPaulo,CoronaVac,136
Curitiba,CoronaVac,401
Florianopolis,CoronaVac,11
PortoAlegre,CoronaVac,226
CampoGrande,CoronaVac,128
Cuiaba,CoronaVac,8065
Goiania,CoronaVac,213
Brasilia,CoronaVac,467
PortoVelho,Janssen,692
RioBranco,Janssen,12
Manaus,Janssen,8778
BoaVista,Janssen,17
Belem,Janssen,32
Macapa,Janssen,16
Palmas,Janssen,806
SaoLuis,Janssen,33
Teresina,Janssen,235
Fortaleza,Janssen,4107
Natal,Janssen,1024
JoaoPessoa,Janssen,16
Recife,Janssen,44
Maceio,Janssen,15
Aracaju,Janssen,12
Salvador,Janssen,33
BeloHorizonte,Janssen,52
Vitoria,Janssen,561
RioDeJaneiro,Janssen,201
SaoPaulo,Janssen,19
Curitiba,Janssen,310
Florianopolis,Janssen,21
PortoAlegre,Janssen,2317
CampoGrande,Janssen,17
Cuiaba,Janssen,195
Goiania,Janssen,53
Brasilia,Janssen,58
