municipio,vacina,oferta
PortoVelho,Pfizer,3622
RioBranco,Pfizer,4847
Manaus,Pfizer,27267
BoaVista,Pfizer,3177
Belem,Pfizer,20550
Macapa,Pfizer,5966
Palmas,Pfizer,4033
SaoLuis,Pfizer,13882
Teresina,Pfizer,5903
Fortaleza,Pfizer,24539
Natal,Pfizer,5159
JoaoPessoa,Pfizer,9128
Recife,Pfizer,19462
Maceio,Pfizer,16194
Aracaju,Pfizer,4121
Salvador,Pfizer,42180
BeloHorizonte,Pfizer,36112
Vitoria,Pfizer,3079
RioDeJaneiro,Pfizer,115938
SaoPaulo,Pfizer,116055
Curitiba,Pfizer,20230
Florianopolis,Pfizer,5639
PortoAlegre,Pfizer,23911
CampoGrande,Pfizer,9155
Cuiaba,Pfizer,4407
Goiania,Pfizer,11515
Brasilia,Pfizer,45545
PortoVelho,AstraZeneca,5271
RioBranco,AstraZeneca,5032
Manaus,AstraZeneca,20317
BoaVista,AstraZeneca,5485
Belem,AstraZeneca,22846
Macapa,AstraZeneca,5059
Palmas,AstraZeneca,4617
SaoLuis,AstraZeneca,11966
Teresina,AstraZeneca,6807
Fortaleza,AstraZeneca,20091
Natal,AstraZeneca,9160
JoaoPessoa,AstraZeneca,14334
Recife,AstraZeneca,24618
Maceio,AstraZeneca,9818
Aracaju,AstraZeneca,8903
Salvador,AstraZeneca,37559
BeloHorizonte,AstraZeneca,24217
Vitoria,AstraZeneca,4171
RioDeJaneiro,AstraZeneca,67057
SaoPaulo,AstraZeneca,177388
Curitiba,AstraZeneca,27329
Florianopolis,AstraZeneca,5433
PortoAlegre,AstraZeneca,24137
CampoGrande,AstraZeneca,10016
Cuiaba,AstraZeneca,5082
Goiania,AstraZeneca,25248
Brasilia,AstraZeneca,47805
PortoVelho,CoronaVac,4122
RioBranco,CoronaVac,5067
Manaus,CoronaVac,34123
BoaVista,CoronaVac,8457
Belem,CoronaVac,21993
Macapa,CoronaVac,7277
Palmas,CoronaVac,3104
SaoLuis,CoronaVac,10556
Teresina,CoronaVac,8116
Fortaleza,CoronaVac,25720
Natal,CoronaVac,9817
JoaoPessoa,CoronaVac,13754
Recife,CoronaVac,19211
Maceio,CoronaVac,14000
Aracaju,CoronaVac,9915
Salvador,CoronaVac,39499
BeloHorizonte,CoronaVac,16601
Vitoria,CoronaVac,5938
RioDeJaneiro,CoronaVac,109422
SaoPaulo,CoronaVac,162817
Curitiba,CoronaVac,19071
Florianopolis,CoronaVac,5377
PortoAlegre,CoronaVac,9184
CampoGrande,CoronaVac,10289
Cuiaba,CoronaVac,5232
Goiania,CoronaVac,15121
Brasilia,CoronaVac,46055
PortoVelho,Janssen,1185
RioBranco,Janssen,1293
Manaus,Janssen,3788
BoaVista,Janssen,1379
Belem,Janssen,4607
Macapa,Janssen,1529
Palmas,Janssen,1122
SaoLuis,Janssen,4027
Teresina,Janssen,2037
Fortaleza,Janssen,9068
Natal,Janssen,2844
JoaoPessoa,Janssen,2076
Recife,Janssen,2937
Maceio,Janssen,2631
Aracaju,Janssen,964
Salvador,Janssen,4313
BeloHorizonte,Janssen,7389
Vitoria,Janssen,1076
RioDeJaneiro,Janssen,13432
SaoPaulo,Janssen,16279
Curitiba,Janssen,6329
Florianopolis,Janssen,1601
PortoAlegre,Janssen,2568
CampoGrande,Janssen,2010
Cuiaba,Janssen,2421
Goiania,Janssen,2293
Brasilia,Janssen,7215
