municipio,vacina,oferta
PortoVelho,Pfizer,7670
RioBranco,Pfizer,5342
Manaus,Pfizer,37604
BoaVista,Pfizer,7146
Belem,Pfizer,19100
Macapa,Pfizer,8197
Palmas,Pfizer,5210
SaoLuis,Pfizer,17855
Teresina,Pfizer,14495
Fortaleza,Pfizer,41589
Natal,Pfizer,13040
JoaoPessoa,Pfizer,12949
Recife,Pfizer,23332
Maceio,Pfizer,15829
Aracaju,Pfizer,10212
Salvador,Pfizer,36421
BeloHorizonte,Pfizer,39731
Vitoria,Pfizer,5095
RioDeJaneiro,Pfizer,106650
SaoPaulo,Pfizer,173476
Curitiba,Pfizer,26819
Florianopolis,Pfizer,9012
PortoAlegre,Pfizer,21899
CampoGrande,Pfizer,15919
Cuiaba,Pfizer,11407
Goiania,Pfizer,24881
Brasilia,Pfizer,39744
PortoVelho,AstraZeneca,8207
RioBranco,AstraZeneca,6188
Manaus,AstraZeneca,31806
BoaVista,AstraZeneca,6755
Belem,AstraZeneca,21118
Macapa,AstraZeneca,7655
Palmas,AstraZeneca,4911
SaoLuis,AstraZeneca,17451
Teresina,AstraZeneca,13785
Fortaleza,AstraZeneca,38860
Natal,AstraZeneca,11661
JoaoPessoa,AstraZeneca,11910
Recife,AstraZeneca,26211
Maceio,AstraZeneca,15946
Aracaju,AstraZeneca,10229
Salvador,AstraZeneca,35194
BeloHorizonte,AstraZeneca,38738
Vitoria,AstraZeneca,5640
RioDeJaneiro,AstraZeneca,113031
SaoPaulo,AstraZeneca,165622
Curitiba,AstraZeneca,30367
Florianopolis,AstraZeneca,9274
PortoAlegre,AstraZeneca,21855
CampoGrande,AstraZeneca,14839
Cuiaba,AstraZeneca,11093
Goiania,AstraZeneca,22159
Brasilia,AstraZeneca,40802
PortoVelho,CoronaVac,7270
RioBranco,CoronaVac,5435
Manaus,CoronaVac,36526
BoaVista,CoronaVac,7757
Belem,CoronaVac,19376
Macapa,CoronaVac,7121
Palmas,CoronaVac,4829
SaoLuis,CoronaVac,16323
Teresina,CoronaVac,14692
Fortaleza,CoronaVac,35790
Natal,CoronaVac,11086
JoaoPessoa,CoronaVac,12706
Recife,CoronaVac,24325
Maceio,CoronaVac,16285
Aracaju,CoronaVac,10594
Salvador,CoronaVac,34217
BeloHorizonte,CoronaVac,38068
Vitoria,CoronaVac,5720
RioDeJaneiro,CoronaVac,107432
SaoPaulo,CoronaVac,179708
Curitiba,CoronaVac,29760
Florianopolis,CoronaVac,7838
PortoAlegre,CoronaVac,20071
CampoGrande,CoronaVac,15432
Cuiaba,CoronaVac,10691
Goiania,CoronaVac,23577
Brasilia,CoronaVac,40902
PortoVelho,Janssen,1418
RioBranco,Janssen,863
Manaus,Janssen,6279
BoaVista,Janssen,1091
Belem,Janssen,3813
Macapa,Janssen,1327
Palmas,Janssen,908
SaoLuis,Janssen,2576
Teresina,Janssen,2376
Fortaleza,Janssen,6930
Natal,Janssen,1990
JoaoPessoa,Janssen,2465
Recife,Janssen,4173
Maceio,Janssen,2441
Aracaju,Janssen,1578
Salvador,Janssen,6743
BeloHorizonte,Janssen,6189
Vitoria,Janssen,889
RioDeJaneiro,Janssen,16196
SaoPaulo,Janssen,30095
Curitiba,Janssen,4702
Florianopolis,Janssen,1511
PortoAlegre,Janssen,3085
CampoGrande,Janssen,2126
Cuiaba,Janssen,1902
Goiania,Janssen,3357
Brasilia,Janssen,8087
