municipio,vacina,oferta
PortoVelho,Pfizer,6212
PortoVelho,AstraZeneca,6212
PortoVelho,CoronaVac,6212
PortoVelho,Janssen,1034
RioBranco,Pfizer,4675
RioBranco,AstraZeneca,5015
RioBranco,CoronaVac,4668
RioBranco,Janssen,897
Manaus,Pfizer,27644
Manaus,AstraZeneca,29093
Manaus,CoronaVac,27644
Manaus,Janssen,8302
BoaVista,Pfizer,5824
BoaVista,AstraZeneca,6647
BoaVista,CoronaVac,5824
BoaVista,Janssen,1730
Belem,Pfizer,16766
Belem,AstraZeneca,16766
Belem,CoronaVac,16766
Belem,Janssen,3231
Macapa,Pfizer,5876
Macapa,AstraZeneca,8421
Macapa,CoronaVac,5876
Macapa,Janssen,1646
Palmas,Pfizer,3940
Palmas,AstraZeneca,3940
Palmas,CoronaVac,7002
Palmas,Janssen,806
SaoLuis,Pfizer,13070
SaoLuis,AstraZeneca,13070
SaoLuis,CoronaVac,19191
SaoLuis,Janssen,3322
Teresina,Pfizer,10868
Teresina,AstraZeneca,10868
Teresina,CoronaVac,10868
Teresina,Janssen,1810
Fortaleza,Pfizer,39840
Fortaleza,AstraZeneca,41370
Fortaleza,CoronaVac,38788
Fortaleza,Janssen,5156
Natal,Pfizer,9410
Natal,AstraZeneca,10500
Natal,CoronaVac,9410
Natal,Janssen,1568
JoaoPessoa,Pfizer,11643
JoaoPessoa,AstraZeneca,10770
JoaoPessoa,CoronaVac,10770
JoaoPessoa,Janssen,1794
Recife,Pfizer,19060
Recife,AstraZeneca,26515
Recife,CoronaVac,19591
Recife,Janssen,3176
Maceio,Pfizer,11938
Maceio,AstraZeneca,11938
Maceio,CoronaVac,11938
Maceio,Janssen,1988
Aracaju,Pfizer,10062
Aracaju,AstraZeneca,7570
Aracaju,CoronaVac,10802
Aracaju,Janssen,1260
Salvador,Pfizer,30770
Salvador,AstraZeneca,30770
Salvador,CoronaVac,30770
Salvador,Janssen,5128
BeloHorizonte,Pfizer,38162
BeloHorizonte,AstraZeneca,30082
BeloHorizonte,CoronaVac,28990
BeloHorizonte,Janssen,4830
Vitoria,Pfizer,4120
Vitoria,AstraZeneca,4120
Vitoria,CoronaVac,4120
Vitoria,Janssen,686
RioDeJaneiro,Pfizer,80768
RioDeJaneiro,AstraZeneca,80768
RioDeJaneiro,CoronaVac,80768
RioDeJaneiro,Janssen,13612
SaoPaulo,Pfizer,164479
SaoPaulo,AstraZeneca,172098
SaoPaulo,CoronaVac,142858
SaoPaulo,Janssen,23808
Curitiba,Pfizer,21968
Curitiba,AstraZeneca,21968
Curitiba,CoronaVac,40157
Curitiba,Janssen,3660
Florianopolis,Pfizer,7048
Florianopolis,AstraZeneca,7048
Florianopolis,CoronaVac,7048
Florianopolis,Janssen,1174
PortoAlegre,Pfizer,16664
PortoAlegre,AstraZeneca,16664
PortoAlegre,CoronaVac,22687
PortoAlegre,Janssen,2776
CampoGrande,Pfizer,11554
CampoGrande,AstraZeneca,11554
CampoGrande,CoronaVac,11554
CampoGrande,Janssen,1924
Cuiaba,Pfizer,8302
Cuiaba,AstraZeneca,11839
Cuiaba,CoronaVac,8302
Cuiaba,Janssen,1953
Goiania,Pfizer,24202
Goiania,AstraZeneca,18038
Goiania,CoronaVac,21351
Goiania,Janssen,5155
Brasilia,Pfizer,35962
Brasilia,AstraZeneca,35962
Brasilia,CoronaVac,46789
Brasilia,Janssen,5992
