posto,latitude,longitude,municipio,estado
RO_Renato_Medeiros,-8.805342,-63.887928,PortoVelho,RO
RO_Mariana,-8.771103,-63.819078,PortoVelho,RO
AC_Deusimar_Pinheiro,-9.944584,-67.817296,RioBranco,AC
AC_Rozangela_Pimentel,-9.977029,-67.884690,RioBranco,AC
AM_Luiz_Montenegro,-3.112497,-60.021908,Manaus,AM
AM_Silas_Santos,-3.075122,-59.931769,Manaus,AM
RR_Sao_Vicente,2.809521,-60.679099,BoaVista,RR
RR_CMI,2.830223,-60.704874,BoaVista,RR
PA_Guama,-1.467314,-48.464076,Belem,PA
PA_Cremacao,-1.459466,-48.478454,Belem,PA
AP_Macelo_Candia,0.092922,-51.065756,Macapa,AP
AP_Leozildo_Barreto,0.001521,-51.087738,Macapa,AP
TO_1304_Sul,-10.264686,-48.325011,Palmas,TO
TO_1103Sul,-10.251510,-48.337281,Palmas,TO
MA_Jose_Carlos,-2.557740,-44.261282,SaoLuis,MA
MA_Santa_Efigenia,-2.576601,-44.190877,SaoLuis,MA
PI_Cristo_Rei,-5.099928,-42.785312,Teresina,PI
PI_Santa_Isabel,-5.071084,-42.758797,Teresina,PI
CE_Flavio_Marcilio,-3.723271,-38.480563,Fortaleza,CE
CE_Antônio_de_Almeida,-3.784880,-38.627290,Fortaleza,CE
RN_Nova_Natal,-5.730425,-35.260471,Natal,RN
RN_Vale_Dourado,-5.762230,-35.271179,Natal,RN
PB_Bessa,-7.071740,-34.842501,JoaoPessoa,PB
PB_CMI,-7.180888,-34.908695,JoaoPessoa,PB
PE_Fernanda_Wanderley,-8.005408,-34.899892,Recife,PE
PE_Dom_Miguel,-8.133468,-34.904793,Recife,PE
AL_Joao_Sampaio,-9.604519,-35.759670,Maceio,AL
AL_Osvaldo_Brandao,-9.662314,-35.716793,Maceio,AL
SE_Fernando_Sampaio,-10.932130,-37.079091,Aracaju,SE
SE_Francisco_Fonseca,-10.895341,-37.062276,Aracaju,SE
BA_Virgilio_de_Carvalho,-12.928872,-38.506598,Salvador,BA
BA_Santo_Antonio,-12.967127,-38.505204,Salvador,BA
MG_Saude_Paraiso,-19.924465,-43.908402,BeloHorizonte,MG
MG_Campo_Alegre,-19.829892,-43.949163,BeloHorizonte,MG
ES_Grande_Vitória,-20.290260,-40.343994,Vitoria,ES
ES_Maria_Ortiz,-20.257259,-40.298198,Vitoria,ES
RJ_Heitor_Beltrao,-22.929797,-43.234130,RioDeJaneiro,RJ
RJ_Ernani_Agricola,-22.921225,-43.189333,RioDeJaneiro,RJ
SP_Mar_Paulista,-23.696513,-46.662926,SaoPaulo,SP
SP_Mooca_I,-23.531893,-46.652155,SaoPaulo,SP
PR_Bacacheri,-25.400985,-49.239392,Curitiba,PR
PR_Bairro_Alto,-25.413751,-49.205434,Curitiba,PR
SC_Jurere,-27.442340,-48.483522,Florianopolis,SC
SC_Joao_Paulo,-27.561864,-48.513478,Florianopolis,SC
RS_Bananeiras,-30.065578,-51.186596,PortoAlegre,RS
RS_Farrapos,-29.979534,-51.194622,PortoAlegre,RS
MS_Pastor_Eliseu,-20.496970, -54.676859,CampoGrande,MS
MS_Jardim_Noroeste,-20.459447, -54.530486,CampoGrande,MS
MT_Dom_Aquino,-15.608418,-56.093542,Cuiaba,MT
MT_PEDREGAL_II,-15.599292,-56.067546,Cuiaba,MT
GO_Fama,-16.661101,-49.273410,Goiania,GO
GO_Jose_do_Egito,-16.710104,-49.303497,Goiania,GO
DF_Num_9,-15.800825,-47.941979,Brasilia,DF
DF_Num_13,-15.743075,-47.891920,Brasilia,DF
