municipio,vacina,oferta
PortoVelho,BCG,8602
RioBranco,BCG,5658
Manaus,BCG,32645
BoaVista,BCG,8181
Belem,BCG,20479
Macapa,BCG,8154
Palmas,BCG,5551
SaoLuis,BCG,16047
Teresina,BCG,13885
Fortaleza,BCG,41651
Natal,BCG,12013
JoaoPessoa,BCG,13874
Recife,BCG,21885
Maceio,BCG,15710
Aracaju,BCG,10058
Salvador,BCG,39516
BeloHorizonte,BCG,35972
Vitoria,BCG,5816
RioDeJaneiro,BCG,117434
SaoPaulo,BCG,166388
Curitiba,BCG,31428
Florianopolis,BCG,8986
PortoAlegre,BCG,23654
CampoGrande,BCG,13892
Cuiaba,BCG,9862
Goiania,BCG,26251
Brasilia,BCG,41739
PortoVelho,HepatiteB,7704
RioBranco,HepatiteB,5971
Manaus,HepatiteB,37225
BoaVista,HepatiteB,7464
Belem,HepatiteB,21060
Macapa,HepatiteB,6811
Palmas,HepatiteB,5155
SaoLuis,HepatiteB,17682
Teresina,HepatiteB,14392
Fortaleza,HepatiteB,42085
Natal,HepatiteB,12351
JoaoPessoa,HepatiteB,12842
Recife,HepatiteB,25970
Maceio,HepatiteB,17331
Aracaju,HepatiteB,8877
Salvador,HepatiteB,43486
BeloHorizonte,HepatiteB,38139
Vitoria,HepatiteB,5208
RioDeJaneiro,HepatiteB,105240
SaoPaulo,HepatiteB,195258
Curitiba,HepatiteB,28348
Florianopolis,HepatiteB,10271
PortoAlegre,HepatiteB,19978
CampoGrande,HepatiteB,13325
Cuiaba,HepatiteB,10290
Goiania,HepatiteB,23320
Brasilia,HepatiteB,46409
PortoVelho,Pentavalente,8114
RioBranco,Pentavalente,6369
Manaus,Pentavalente,34682
BoaVista,Pentavalente,7012
Belem,Pentavalente,20338
Macapa,Pentavalente,8555
Palmas,Pentavalente,5664
SaoLuis,Pentavalente,18112
Teresina,Pentavalente,12874
Fortaleza,Pentavalente,38032
Natal,Pentavalente,11652
JoaoPessoa,Pentavalente,14558
Recife,Pentavalente,25171
Maceio,Pentavalente,16177
Aracaju,Pentavalente,10380
Salvador,Pentavalente,44412
BeloHorizonte,Pentavalente,33860
Vitoria,Pentavalente,4783
RioDeJaneiro,Pentavalente,103956
SaoPaulo,Pentavalente,174371
Curitiba,Pentavalente,28704
Florianopolis,Pentavalente,9440
PortoAlegre,Pentavalente,22379
CampoGrande,Pentavalente,16558
Cuiaba,Pentavalente,12086
Goiania,Pentavalente,22518
Brasilia,Pentavalente,51075
PortoVelho,VIP,7549
RioBranco,VIP,5946
Manaus,VIP,35436
BoaVista,VIP,7301
Belem,VIP,19629
Macapa,VIP,7280
Palmas,VIP,5220
SaoLuis,VIP,15935
Teresina,VIP,12786
Fortaleza,VIP,39388
Natal,VIP,12163
JoaoPessoa,VIP,12604
Recife,VIP,23563
Maceio,VIP,15766
Aracaju,VIP,10147
Salvador,VIP,36594
BeloHorizonte,VIP,37819
Vitoria,VIP,5356
RioDeJaneiro,VIP,100560
SaoPaulo,VIP,185817
Curitiba,VIP,28339
Florianopolis,VIP,9782
PortoAlegre,VIP,24257
CampoGrande,VIP,13706
Cuiaba,VIP,10285
