Modelo,Usa_Penalidade,ID_Fluxo,Rota,Tipo_Rota,Origem,Lat_O,Lon_O,Destino,Lat_D,Lon_D,Custo_Horas,Doses,Vacina,Modal
2,True,PortoVelho_PA_AstraZeneca,PortoVelho -> PA,ik,PortoVelho,-8.7494,-63.9106,PA,-5.53,-52.29,4.563,756,AstraZeneca,aereo
2,True,RioBranco_RO_Janssen,RioBranco -> RO,ik,RioBranco,-9.9724,-67.8101,RO,-11.22,-62.8,3.318,342,Janssen,aereo
2,True,Manaus_CE_Janssen,Manaus -> CE,ik,Manaus,-3.0922,-60.0604,CE,-3.71,-38.54,6.283,476,Janssen,aereo
2,True,Manaus_PA_AstraZeneca,Manaus -> PA,ik,Manaus,-3.0922,-60.0604,PA,-5.53,-52.29,3.868,679,AstraZeneca,aereo
2,True,Macapa_PA_Pfizer,Macapa -> PA,ik,Macapa,0.0407,-51.0574,PA,-5.53,-52.29,3.431,1507,Pfizer,aereo
2,True,Macapa_RR_Pfizer,Macapa -> RR,ik,Macapa,0.0407,-51.0574,RR,1.89,-61.22,4.266,913,Pfizer,aereo
2,True,Palmas_DF_AstraZeneca,Palmas -> DF,ik,Palmas,-10.1845,-48.3337,DF,-15.83,-47.86,3.423,1129,AstraZeneca,aereo
2,True,Palmas_MA_AstraZeneca,Palmas -> MA,ik,Palmas,-10.1845,-48.3337,MA,-2.55,-44.3,3.958,134,AstraZeneca,aereo
2,True,SaoLuis_AP_CoronaVac,SaoLuis -> AP,ik,SaoLuis,-2.5274,-44.3061,AP,1.41,-51.77,3.925,4,CoronaVac,aereo
2,True,Teresina_AC_CoronaVac,Teresina -> AC,ik,Teresina,-5.0911,-42.8116,AC,-8.77,-70.55,7.418,4,CoronaVac,aereo
2,True,Teresina_AM_CoronaVac,Teresina -> AM,ik,Teresina,-5.0911,-42.8116,AM,-3.07,-61.66,5.816,3895,CoronaVac,aereo
2,True,Teresina_AP_CoronaVac,Teresina -> AP,ik,Teresina,-5.0911,-42.8116,AP,1.41,-51.77,4.399,431,CoronaVac,aereo
2,True,Teresina_CE_Janssen,Teresina -> CE,ik,Teresina,-5.0911,-42.8116,CE,-3.71,-38.54,3.209,543,Janssen,aereo
2,True,Teresina_MA_AstraZeneca,Teresina -> MA,ik,Teresina,-5.0911,-42.8116,MA,-2.55,-44.3,2.932,4598,AstraZeneca,aereo
2,True,Teresina_PA_CoronaVac,Teresina -> PA,ik,Teresina,-5.0911,-42.8116,PA,-5.53,-52.29,4.107,1903,CoronaVac,aereo
2,True,Teresina_RR_CoronaVac,Teresina -> RR,ik,Teresina,-5.0911,-42.8116,RR,1.89,-61.22,5.954,523,CoronaVac,aereo
2,True,Natal_AL_AstraZeneca,Natal -> AL,ik,Natal,-5.8301,-35.2128,AL,-9.71,-35.73,3.107,1550,AstraZeneca,aereo
2,True,JoaoPessoa_AL_AstraZeneca,JoaoPessoa -> AL,ik,JoaoPessoa,-7.1688,-34.8638,AL,-9.71,-35.73,2.885,2938,AstraZeneca,aereo
2,True,JoaoPessoa_SE_AstraZeneca,JoaoPessoa -> SE,ik,JoaoPessoa,-7.1688,-34.8638,SE,-10.9,-37.07,3.181,1907,AstraZeneca,aereo
2,True,Recife_AL_CoronaVac,Recife -> AL,ik,Recife,-8.0632,-34.8711,AL,-9.71,-35.73,2.735,413,CoronaVac,aereo
2,True,Recife_AL_Janssen,Recife -> AL,ik,Recife,-8.0632,-34.8711,AL,-9.71,-35.73,2.735,442,Janssen,aereo
2,True,Recife_BA_Pfizer,Recife -> BA,ik,Recife,-8.0632,-34.8711,BA,-12.96,-38.51,3.496,932,Pfizer,aereo
2,True,Recife_CE_Janssen,Recife -> CE,ik,Recife,-8.0632,-34.8711,CE,-3.71,-38.54,3.426,30,Janssen,aereo
2,True,Recife_MA_Pfizer,Recife -> MA,ik,Recife,-8.0632,-34.8711,MA,-2.55,-44.3,4.367,1215,Pfizer,aereo
2,True,Recife_MT_CoronaVac,Recife -> MT,ik,Recife,-8.0632,-34.8711,MT,-12.64,-55.42,6.143,237,CoronaVac,aereo
2,True,Recife_PB_CoronaVac,Recife -> PB,ik,Recife,-8.0632,-34.8711,PB,-7.06,-35.55,2.618,1389,CoronaVac,aereo
