Modelo,Usa_Penalidade,ID_Fluxo,Rota,Tipo_Rota,Origem,Lat_O,Lon_O,Destino,Lat_D,Lon_D,Custo_Horas,Doses,Vacina,Modal
5,False,RioBranco_AM_Pfizer,RioBranco -> AM,ik,RioBranco,-9.9724,-67.8101,AM,-3.07,-61.66,3.665,7,Pfizer,aereo
5,False,RioBranco_RO_Janssen,RioBranco -> RO,ik,RioBranco,-9.9724,-67.8101,RO,-11.22,-62.8,2.918,342,Janssen,aereo
5,False,Macapa_AM_Pfizer,Macapa -> AM,ik,Macapa,0.0407,-51.0574,AM,-3.07,-61.66,3.996,1507,Pfizer,aereo
5,False,Macapa_PA_AstraZeneca,Macapa -> PA,ik,Macapa,0.0407,-51.0574,PA,-5.53,-52.29,3.031,1435,AstraZeneca,aereo
5,False,Macapa_RR_Pfizer,Macapa -> RR,ik,Macapa,0.0407,-51.0574,RR,1.89,-61.22,3.866,913,Pfizer,aereo
5,False,Palmas_AM_CoronaVac,Palmas -> AM,ik,Palmas,-10.1845,-48.3337,AM,-3.07,-61.66,4.714,1159,CoronaVac,aereo
5,False,Palmas_BA_Janssen,Palmas -> BA,ik,Palmas,-10.1845,-48.3337,BA,-12.96,-38.51,3.810,150,Janssen,aereo
5,False,Palmas_DF_AstraZeneca,Palmas -> DF,ik,Palmas,-10.1845,-48.3337,DF,-15.83,-47.86,3.023,1263,AstraZeneca,aereo
5,False,Palmas_PA_CoronaVac,Palmas -> PA,ik,Palmas,-10.1845,-48.3337,PA,-5.53,-52.29,3.099,1903,CoronaVac,aereo
5,False,SaoLuis_AM_CoronaVac,SaoLuis -> AM,ik,SaoLuis,-2.5274,-44.3061,AM,-3.07,-61.66,5.133,2736,CoronaVac,aereo
5,False,SaoLuis_AP_CoronaVac,SaoLuis -> AP,ik,SaoLuis,-2.5274,-44.3061,AP,1.41,-51.77,3.525,435,CoronaVac,aereo
5,False,SaoLuis_CE_Janssen,SaoLuis -> CE,ik,SaoLuis,-2.5274,-44.3061,CE,-3.71,-38.54,3.062,1049,Janssen,aereo
5,False,SaoLuis_RR_CoronaVac,SaoLuis -> RR,ik,SaoLuis,-2.5274,-44.3061,RR,1.89,-61.22,5.158,523,CoronaVac,aereo
5,False,Teresina_BA_Janssen,Teresina -> BA,ik,Teresina,-5.0911,-42.8116,BA,-12.96,-38.51,3.616,543,Janssen,aereo
5,False,Teresina_MA_AstraZeneca,Teresina -> MA,ik,Teresina,-5.0911,-42.8116,MA,-2.55,-44.3,2.532,4598,AstraZeneca,aereo
5,False,Fortaleza_MA_Pfizer,Fortaleza -> MA,ik,Fortaleza,-3.7254,-38.5236,MA,-2.55,-44.3,3.064,6241,Pfizer,aereo
5,False,Fortaleza_MA_AstraZeneca,Fortaleza -> MA,ik,Fortaleza,-3.7254,-38.5236,MA,-2.55,-44.3,3.064,134,AstraZeneca,aereo
5,False,Fortaleza_PA_Pfizer,Fortaleza -> PA,ik,Fortaleza,-3.7254,-38.5236,PA,-5.53,-52.29,4.501,2659,Pfizer,aereo
5,False,Fortaleza_RN_CoronaVac,Fortaleza -> RN,ik,Fortaleza,-3.7254,-38.5236,RN,-5.22,-36.52,2.451,2489,CoronaVac,aereo
5,False,JoaoPessoa_BA_AstraZeneca,JoaoPessoa -> BA,ik,JoaoPessoa,-7.1688,-34.8638,BA,-12.96,-38.51,3.231,4501,AstraZeneca,aereo
5,False,JoaoPessoa_RN_Pfizer,JoaoPessoa -> RN,ik,JoaoPessoa,-7.1688,-34.8638,RN,-5.22,-36.52,2.461,873,Pfizer,aereo
5,False,Recife_AL_AstraZeneca,Recife -> AL,ik,Recife,-8.0632,-34.8711,AL,-9.71,-35.73,2.335,4488,AstraZeneca,aereo
5,False,Recife_AL_Janssen,Recife -> AL,ik,Recife,-8.0632,-34.8711,AL,-9.71,-35.73,2.335,442,Janssen,aereo
5,False,Recife_BA_AstraZeneca,Recife -> BA,ik,Recife,-8.0632,-34.8711,BA,-12.96,-38.51,3.096,1060,AstraZeneca,aereo
5,False,Recife_BA_Janssen,Recife -> BA,ik,Recife,-8.0632,-34.8711,BA,-12.96,-38.51,3.096,30,Janssen,aereo
5,False,Recife_PB_CoronaVac,Recife -> PB,ik,Recife,-8.0632,-34.8711,PB,-7.06,-35.55,2.218,1389,CoronaVac,aereo
5,False,Recife_PB_Janssen,Recife -> PB,ik,Recife,-8.0632,-34.8711,PB,-7.06,-35.55,2.218,192,Janssen,aereo
5,False,Recife_RN_Pfizer,Recife -> RN,ik,Recife,-8.0632,-34.8711,RN,-5.22,-36.52,2.593,2081,Pfizer,aereo
5,False,Recife_RN_Janssen,Recife -> RN,ik,Recife,-8.0632,-34.8711,RN,-5.22,-36.52,2.593,544,Janssen,aereo
5,False,Recife_SE_AstraZeneca,Recife -> SE,ik,Recife,-8.0632,-34.8711,SE,-10.9,-37.07,2.645,1907,AstraZeneca,aereo
5,False,Recife_SE_Janssen,Recife -> SE,ik,Recife,-8.0632,-34.8711,SE,-10.9,-37.07,2.645,40,Janssen,aereo
5,False,Maceio_PA_Pfizer,Maceio -> PA,ik,Maceio,-9.6599,-35.7406,PA,-5.53,-52.29,5.056,530,Pfizer,aereo
5,False,Maceio_PI_Pfizer,Maceio -> PI,ik,Maceio,-9.6599,-35.7406,PI,-8.28,-43.68,3.439,2725,Pfizer,aereo
5,False,Aracaju_AL_CoronaVac,Aracaju -> AL,ik,Aracaju,-10.9444,-37.069,AL,-9.71,-35.73,2.326,413,CoronaVac,aereo
5,False,Aracaju_BA_Pfizer,Aracaju -> BA,ik,Aracaju,-10.9444,-37.069,BA,-12.96,-38.51,2.444,932,Pfizer,aereo
5,False,Aracaju_PI_Pfizer,Aracaju -> PI,ik,Aracaju,-10.9444,-37.069,PI,-8.28,-43.68,3.272,1560,Pfizer,aereo
5,False,BeloHorizonte_BA_Janssen,BeloHorizonte -> BA,ik,BeloHorizonte,-19.9237,-43.9363,BA,-12.96,-38.51,3.570,378,Janssen,aereo
5,False,BeloHorizonte_DF_Pfizer,BeloHorizonte -> DF,ik,BeloHorizonte,-19.9237,-43.9363,DF,-15.83,-47.86,3.001,7703,Pfizer,aereo
5,False,BeloHorizonte_DF_AstraZeneca,BeloHorizonte -> DF,ik,BeloHorizonte,-19.9237,-43.9363,DF,-15.83,-47.86,3.001,1653,AstraZeneca,aereo
5,False,BeloHorizonte_ES_Pfizer,BeloHorizonte -> ES,ik,BeloHorizonte,-19.9237,-43.9363,ES,-19.19,-40.34,2.627,905,Pfizer,aereo
5,False,BeloHorizonte_PA_Pfizer,BeloHorizonte -> PA,ik,BeloHorizonte,-19.9237,-43.9363,PA,-5.53,-52.29,4.986,548,Pfizer,aereo
5,False,BeloHorizonte_TO_Pfizer,BeloHorizonte -> TO,ik,BeloHorizonte,-19.9237,-43.9363,TO,-10.25,-48.25,3.903,16,Pfizer,aereo
5,False,Vitoria_RJ_CoronaVac,Vitoria -> RJ,ik,Vitoria,-20.3155,-40.3128,RJ,-22.84,-43.15,2.660,2718,CoronaVac,aereo
5,False,RioDeJaneiro_BA_Janssen,RioDeJaneiro -> BA,ik,RioDeJaneiro,-22.9068,-43.1729,BA,-12.96,-38.51,3.967,678,Janssen,aereo
5,False,RioDeJaneiro_ES_AstraZeneca,RioDeJaneiro -> ES,ik,RioDeJaneiro,-22.9068,-43.1729,ES,-19.19,-40.34,2.824,1182,AstraZeneca,aereo
5,False,RioDeJaneiro_ES_Janssen,RioDeJaneiro -> ES,ik,RioDeJaneiro,-22.9068,-43.1729,ES,-19.19,-40.34,2.824,125,Janssen,aereo
5,False,RioDeJaneiro_PR_Janssen,RioDeJaneiro -> PR,ik,RioDeJaneiro,-22.9068,-43.1729,PR,-24.89,-51.55,3.429,80,Janssen,aereo
5,False,RioDeJaneiro_SP_Janssen,RioDeJaneiro -> SP,ik,RioDeJaneiro,-22.9068,-43.1729,SP,-23.55,-46.64,2.587,4663,Janssen,aereo
5,False,SaoPaulo_DF_AstraZeneca,SaoPaulo -> DF,ik,SaoPaulo,-23.5505,-46.6333,DF,-15.83,-47.86,3.411,8225,AstraZeneca,aereo
5,False,SaoPaulo_GO_AstraZeneca,SaoPaulo -> GO,ik,SaoPaulo,-23.5505,-46.6333,GO,-16.64,-49.31,3.329,12,AstraZeneca,aereo
5,False,SaoPaulo_PR_Pfizer,SaoPaulo -> PR,ik,SaoPaulo,-23.5505,-46.6333,PR,-24.89,-51.55,2.846,1331,Pfizer,aereo
5,False,SaoPaulo_PR_AstraZeneca,SaoPaulo -> PR,ik,SaoPaulo,-23.5505,-46.6333,PR,-24.89,-51.55,2.846,8028,AstraZeneca,aereo
5,False,SaoPaulo_RJ_Pfizer,SaoPaulo -> RJ,ik,SaoPaulo,-23.5505,-46.6333,RJ,-22.84,-43.15,2.593,20191,Pfizer,aereo
5,False,SaoPaulo_RS_Pfizer,SaoPaulo -> RS,ik,SaoPaulo,-23.5505,-46.6333,RS,-30.01,-51.22,3.382,458,Pfizer,aereo
5,False,SaoPaulo_RS_AstraZeneca,SaoPaulo -> RS,ik,SaoPaulo,-23.5505,-46.6333,RS,-30.01,-51.22,3.382,826,AstraZeneca,aereo
5,False,SaoPaulo_SC_Pfizer,SaoPaulo -> SC,ik,SaoPaulo,-23.5505,-46.6333,SC,-27.33,-49.44,2.822,592,Pfizer,aereo
5,False,SaoPaulo_SC_AstraZeneca,SaoPaulo -> SC,ik,SaoPaulo,-23.5505,-46.6333,SC,-27.33,-49.44,2.822,1207,AstraZeneca,aereo
5,False,Curitiba_RJ_CoronaVac,Curitiba -> RJ,ik,Curitiba,-25.429,-49.2671,RJ,-22.84,-43.15,3.112,2741,CoronaVac,aereo
5,False,Curitiba_SP_CoronaVac,Curitiba -> SP,ik,Curitiba,-25.429,-49.2671,SP,-23.55,-46.64,2.549,6658,CoronaVac,aereo
5,False,Florianopolis_PR_Janssen,Florianopolis -> PR,ik,Florianopolis,-27.5945,-48.5477,PR,-24.89,-51.55,2.690,480,Janssen,aereo
5,False,Florianopolis_RS_Janssen,Florianopolis -> RS,ik,Florianopolis,-27.5945,-48.5477,RS,-30.01,-51.22,2.608,459,Janssen,aereo
5,False,CampoGrande_AC_CoronaVac,CampoGrande -> AC,ik,CampoGrande,-20.4697,-54.6201,AC,-8.77,-70.55,5.492,652,CoronaVac,aereo
5,False,CampoGrande_AM_Pfizer,CampoGrande -> AM,ik,CampoGrande,-20.4697,-54.6201,AM,-3.07,-61.66,5.380,2969,Pfizer,aereo
5,False,CampoGrande_GO_AstraZeneca,CampoGrande -> GO,ik,CampoGrande,-20.4697,-54.6201,GO,-16.64,-49.31,3.143,597,AstraZeneca,aereo
5,False,CampoGrande_RO_Pfizer,CampoGrande -> RO,ik,CampoGrande,-20.4697,-54.6201,RO,-11.22,-62.8,4.193,1663,Pfizer,aereo
5,False,CampoGrande_RO_CoronaVac,CampoGrande -> RO,ik,CampoGrande,-20.4697,-54.6201,RO,-11.22,-62.8,4.193,655,CoronaVac,aereo
5,False,Cuiaba_AM_Pfizer,Cuiaba -> AM,ik,Cuiaba,-15.601,-56.0974,AM,-3.07,-61.66,4.471,3501,Pfizer,aereo
5,False,Cuiaba_GO_AstraZeneca,Cuiaba -> GO,ik,Cuiaba,-15.601,-56.0974,GO,-16.64,-49.31,3.193,3537,AstraZeneca,aereo
5,False,Cuiaba_MS_Janssen,Cuiaba -> MS,ik,Cuiaba,-15.601,-56.0974,MS,-20.51,-54.54,2.926,223,Janssen,aereo
5,False,Goiania_AM_Pfizer,Goiania -> AM,ik,Goiania,-16.6869,-49.2648,AM,-3.07,-61.66,5.301,5811,Pfizer,aereo
5,False,Goiania_DF_Janssen,Goiania -> DF,ik,Goiania,-16.6869,-49.2648,DF,-15.83,-47.86,2.289,184,Janssen,aereo
5,False,Goiania_MT_CoronaVac,Goiania -> MT,ik,Goiania,-16.6869,-49.2648,MT,-12.64,-55.42,3.301,237,CoronaVac,aereo
5,False,Goiania_PA_Pfizer,Goiania -> PA,ik,Goiania,-16.6869,-49.2648,PA,-5.53,-52.29,4.086,353,Pfizer,aereo
5,False,Goiania_RO_CoronaVac,Goiania -> RO,ik,Goiania,-16.6869,-49.2648,RO,-11.22,-62.8,4.570,4,CoronaVac,aereo
5,False,Brasilia_MG_CoronaVac,Brasilia -> MG,ik,Brasilia,-15.7975,-47.8919,MG,-18.1,-44.38,2.736,1904,CoronaVac,aereo
5,False,AC_RioBranco_CoronaVac,AC -> RioBranco,kj,AC,-8.77,-70.55,RioBranco,-9.9724,-67.8101,2.535,652,CoronaVac,aereo
5,False,AL_Maceio_AstraZeneca,AL -> Maceio,kj,AL,-9.71,-35.73,Maceio,-9.6599,-35.7406,0.623,4488,AstraZeneca,rodoviario
5,False,AL_Maceio_CoronaVac,AL -> Maceio,kj,AL,-9.71,-35.73,Maceio,-9.6599,-35.7406,0.623,413,CoronaVac,rodoviario
5,False,AL_Maceio_Janssen,AL -> Maceio,kj,AL,-9.71,-35.73,Maceio,-9.6599,-35.7406,0.623,442,Janssen,rodoviario
5,False,AM_Manaus_Pfizer,AM -> Manaus,kj,AM,-3.07,-61.66,Manaus,-3.0922,-60.0604,2.289,13795,Pfizer,aereo
5,False,AM_Manaus_CoronaVac,AM -> Manaus,kj,AM,-3.07,-61.66,Manaus,-3.0922,-60.0604,2.289,3895,CoronaVac,aereo
5,False,AP_Macapa_CoronaVac,AP -> Macapa,kj,AP,1.41,-51.77,Macapa,0.0407,-51.0574,2.279,435,CoronaVac,aereo
5,False,BA_Salvador_Pfizer,BA -> Salvador,kj,BA,-12.96,-38.51,Salvador,-12.9742,-38.5125,0.535,932,Pfizer,rodoviario
5,False,BA_Salvador_AstraZeneca,BA -> Salvador,kj,BA,-12.96,-38.51,Salvador,-12.9742,-38.5125,0.535,5561,AstraZeneca,rodoviario
5,False,BA_Salvador_Janssen,BA -> Salvador,kj,BA,-12.96,-38.51,Salvador,-12.9742,-38.5125,0.535,1779,Janssen,rodoviario
5,False,CE_Fortaleza_Janssen,CE -> Fortaleza,kj,CE,-3.71,-38.54,Fortaleza,-3.7254,-38.5236,0.554,1049,Janssen,rodoviario
5,False,DF_Brasilia_Pfizer,DF -> Brasilia,kj,DF,-15.83,-47.86,Brasilia,-15.7975,-47.8919,0.608,7703,Pfizer,rodoviario
5,False,DF_Brasilia_AstraZeneca,DF -> Brasilia,kj,DF,-15.83,-47.86,Brasilia,-15.7975,-47.8919,0.608,11141,AstraZeneca,rodoviario
5,False,DF_Brasilia_Janssen,DF -> Brasilia,kj,DF,-15.83,-47.86,Brasilia,-15.7975,-47.8919,0.608,184,Janssen,rodoviario
5,False,ES_Vitoria_Pfizer,ES -> Vitoria,kj,ES,-19.19,-40.34,Vitoria,-20.3155,-40.3128,2.203,905,Pfizer,aereo
5,False,ES_Vitoria_AstraZeneca,ES -> Vitoria,kj,ES,-19.19,-40.34,Vitoria,-20.3155,-40.3128,2.203,1182,AstraZeneca,aereo
5,False,ES_Vitoria_Janssen,ES -> Vitoria,kj,ES,-19.19,-40.34,Vitoria,-20.3155,-40.3128,2.203,125,Janssen,aereo
5,False,GO_Goiania_AstraZeneca,GO -> Goiania,kj,GO,-16.64,-49.31,Goiania,-16.6869,-49.2648,0.654,4146,AstraZeneca,rodoviario
5,False,MA_SaoLuis_Pfizer,MA -> SaoLuis,kj,MA,-2.55,-44.3,SaoLuis,-2.5274,-44.3061,0.556,6241,Pfizer,rodoviario
5,False,MA_SaoLuis_AstraZeneca,MA -> SaoLuis,kj,MA,-2.55,-44.3,SaoLuis,-2.5274,-44.3061,0.556,4732,AstraZeneca,rodoviario
5,False,MT_Cuiaba_CoronaVac,MT -> Cuiaba,kj,MT,-12.64,-55.42,Cuiaba,-15.601,-56.0974,2.548,237,CoronaVac,aereo
5,False,MS_CampoGrande_Janssen,MS -> CampoGrande,kj,MS,-20.51,-54.54,CampoGrande,-20.4697,-54.6201,0.705,223,Janssen,rodoviario
5,False,MG_BeloHorizonte_CoronaVac,MG -> BeloHorizonte,kj,MG,-18.1,-44.38,BeloHorizonte,-19.9237,-43.9363,2.338,1904,CoronaVac,aereo
5,False,PA_Belem_Pfizer,PA -> Belem,kj,PA,-5.53,-52.29,Belem,-1.4554,-48.5051,3.004,4090,Pfizer,aereo
